trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,8,-9.317191687954418,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,13,-1.4508100657127907,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,0,-24.639091983834454,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3116610814491425}",25,0,25.180859926700805,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",30,22,10.327540089854146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,11,7.92971547876932,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",20,16,8.197522832599429,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",20,0,20.240129138776176,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",35,15,-14.772810395089506,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,7,8.100668071883694,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",30,0,-50.838822125005684,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",20,6,1.147624910098508,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",20,0,7.399971850891596,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",25,9,20.163773214420836,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",25,7,-24.300969805644193,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",25,3,-28.909090501296518,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",30,12,16.067153109317136,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",20,0,15.172906367309254,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",20,0,-0.4808923134561174,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,8,-35.40089425023021,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",30,18,13.800002997261736,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",20,6,-41.80219313497622,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",25,19,12.907218462547004,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",30,11,-47.101980058655165,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",25,14,12.947610655180263,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",25,14,7.0081290901692315,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,6,-19.57917399884245,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",35,16,-13.5269796309769,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,6,9.228255699468018,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",20,6,-4.060656551244177,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",25,5,1.9497210435530192,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",25,4,-1.7760513180403494,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,0,-16.249256069165995,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,0,11.75600102170207,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",20,12,1.24901466466351,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",25,18,-37.53814514387951,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",20,10,5.597866702260212,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",25,7,19.652003634283606,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",30,14,19.007466670102033,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",30,13,-49.33255288733202,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",20,12,4.1190262763214065,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",20,8,0.31694286632890445,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",30,1,-20.42014435223494,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",25,17,4.6827579977354175,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",20,7,22.100872631222906,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",20,8,-19.252863340562374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",30,20,6.1931413488901725,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",30,16,24.603629760995112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",20,1,32.08973099260239,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,26,20.395133817051956,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
